Naziv,Zupanija,Naselje,Ulica,Postanski broj,Vrsta
"PODRUZNICA SPLIT POLIKLINKA ""DR.PETROVIC""",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,MATICE HRVATSKE 68,21000,Dislocirana jed. poliklinike
"PODRUZNICA SPLIT, SPECIJALNA BOLNICA AGRAM",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,VARAZDINSKA 54,21000,Dislocirani odjel spec. bolnice
PODRUZNICA SPLIT-RAMSKA LJEKARNA JOUKHADAR,SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,RAMSKA 7,21000,Ljekarnicka jedinica
"PODRUZNICA SRACINEC LJEKARNE ""SALUS""",VARAZDINSKA ZUPANIJA,SRACINEC,VARAZDINSKA 87,42209,Ljekarnicka jedinica
PODRUZNICA SUPETAR POLIKLINIKA PYRIA-MEDICA,SPLITSKO-DALMATINSKA ZUPANIJA,SUPETAR,PUT VELE LUKE 2,21400,Dislocirana jed. poliklinike
"PODRUZNICA SOLTA LJEKARNA ""SEILA BALIC SVALINA""",SPLITSKO-DALMATINSKA ZUPANIJA,GROHOTE,GUSTIRNA 15,21430,Ljekarnicka jedinica
"PODRUZNICA TUHELJ USTANOVA ZA ZDRAVSTVENU NJEGU U kuci ""SESTRA MACA""",KRAPINSKO-ZAGORSKA ZUPANIJA,SVETI KRIZ,SVETI KRIZ 192 A,49215,Dislocirana jedinica ustanove za zdravstvenu njegu u kuci
PODRUZNICA USTANOVE ZA ZDRAVSTVENU NJEGU I REHABILITACIJU U kuci LUCE,ZADARSKA ZUPANIJA,KALI,PUT VELE LUKE 6,23272,Dislocirana jedinica ustanove za zdravstvenu njegu u kuci
PODRUZNICA USTANOVE ZA ZDRAVSTVENU NJEGU REZIDENCIJA,GRAD ZAGREB,ZAGREB,GORNJE PREKRIZJE 56,10000,Dislocirana jedinica ustanove za zdravstvenu njegu u kuci
PODRUZNICA USTANOVE ZA ZDRAVSTVENU SKRB FINDRI-GUSTEK,GRAD ZAGREB,ZAGREB,DUBRAVA 124,10000,Dislocirana jedinica ustanove za zdravstvenu skrb
"PODRUZNICA VARAZDIN LJEKARNE ""SALUS""",VARAZDINSKA ZUPANIJA,VARAZDIN,MIROSLAVA KRLEZE 48,42000,Ljekarnicka jedinica
"PODRUZNICA VARAZDIN, SPECIJALNA BOLNICA AGRAM",VARAZDINSKA ZUPANIJA,VARAZDIN,ZAGREBACKA ULICA 51,42000,Dislocirani odjel spec. bolnice
PODRUZNICA VELIKA GORICA POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,ZAGREBACKA ZUPANIJA,VELIKA GORICA,TRG KRALJA PETRA KRESIMIRA IV 4 / 1,10410,Dislocirana jed. poliklinike
"PODRUZNICA VELIKA GORICA, SYNLAB HRVATSKA - POLIKLINIKA ZA MEDICINSKO-LABORATORIJSKU DIJAGNOSTIKU",ZAGREBACKA ZUPANIJA,VELIKA GORICA,ULICA KNEZA LJUDEVITA POSAVSKOG 1 A,10410,Dislocirana jed. poliklinike
"PODRUZNICA VINKOVCI POLIKLINIKA ZA OFTALMOLOGIJU ""OCULUS""",VUKOVARSKO-SRIJEMSKA ZUPANIJA,VINKOVCI,GLAGOLJASKA ULICA 33,32100,Dislocirana jed. poliklinike
"PODRUZNICA VINKOVCI-GENSCHEROVA, POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS",VUKOVARSKO-SRIJEMSKA ZUPANIJA,VINKOVCI,HANSA DIETRICHA GENSCHERA 2,32100,Dislocirana jed. poliklinike
PODRUZNICA VINOGRADSKA POLIKLINIKA MEDIKOL,GRAD ZAGREB,ZAGREB,VINOGRADSKA CESTA 29,10000,Dislocirana jed. poliklinike
"PODRUZNICA ZABOK POLIKLINIKA ZA GINEKOLOGIJU, INTERNU MEDICINU, DERMATOLOGIJU I VENEROLOGIJU ""POLANCEC""",KRAPINSKO-ZAGORSKA ZUPANIJA,ZABOK,ULICA MATIJE GUPCA 62,49210,Dislocirana jed. poliklinike
PODRUZNICA ZADAR POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,ZADARSKA ZUPANIJA,ZADAR,PUT MURVICE 1,23000,Dislocirana jed. poliklinike
"PODRUZNICA ZADAR, SPECIJALNA BOLNICA AGRAM",ZADARSKA ZUPANIJA,ZADAR,OBALA KNEZA BRANIMIRA 5,23000,Dislocirani odjel spec. bolnice
"PODRUZNICA ZAGRAB-VLASKA, POLIKLNIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU gHETALDUS",GRAD ZAGREB,ZAGREB,VLASKA ULICA 121,10000,Dislocirana jed. poliklinike
PODRUZNICA ZAGREB POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,GRAD ZAGREB,ZAGREB,TRG BANA JOSIPA JELACICA 15,10000,Dislocirana jed. poliklinike
"PODRUZNICA ZAGREB POLIKLINIKE ZA BAROMEDICINU ""OXY""",GRAD ZAGREB,ZAGREB,AVENIJA GOJKA SUSKA 6,10000,Dislocirana jed. poliklinike
"PODRUZNICA ZAGREB, OZALJSKA 146, POLIKLINIKA GHETALDUS",GRAD ZAGREB,ZAGREB,OZALJSKA ULICA 146,10000,Dislocirana jed. poliklinike
"PODRUZNICA ZAGREB.-PETROVARADINSKA 1, SYNLAB HRVATSKA - POLIKLINIKA ZA MEDICINSKO-LABORATORIJSKU DIJAGNOSTIKU",GRAD ZAGREB,ZAGREB,PETROVARADINSKA ULICA 1,10000,Dislocirana jed. poliklinike
PODRUZNICA ZAGREB-DOMJANICEVA POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,GRAD ZAGREB,ZAGREB,ULICA DRAGUTINA DOMJANICA 7,10000,Dislocirana jed. poliklinike
"PODRUZNICA ZAGREB-GAJEVA, POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS",GRAD ZAGREB,ZAGREB,GAJEVA ULICA 2,10000,Dislocirana jed. poliklinike
PODRUZNICA ZAGREB-KRESICEVA POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,GRAD ZAGREB,ZAGREB,ULICA MIJE KRESICA 32,10000,Dislocirana jed. poliklinike
PODRUZNICA ZAGREB-PARK MIRA I PRIJATE. POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,GRAD ZAGREB,ZAGREB,PARK MIRA I PRIJATELJSTVA BB,10000,Dislocirana jed. poliklinike
"PODRUZNICA ZAGREB-PETROVARADINSKA 7, SYNLAB HRVATSKA - POLIKLINIKA ZA MEDICINSKO LABORATORIJSKU DIJAGNOSTIKU",GRAD ZAGREB,ZAGREB,PETROVARADINSKA ULICA 7,10000,Dislocirana jed. poliklinike
PODRUZNICA ZAGVOZD KLINICKOG BOLNICKOG CENTRA SPLIT,SPLITSKO-DALMATINSKA ZUPANIJA,ZAGVOZD,ULICA FRANJE TUDMANA 46,21270,Dislocirani odjel k.b.c.
PODRUZNICA ZAPRESIC POLIKLINIKA SYNLAB HRVATSKA - POLIK,ZAGREBACKA ZUPANIJA,ZAPRESIC,ULICA BANA JOSIPA JELACICA 51,10290,Dislocirana jed. poliklinike
"PODRUZNICA ZAPRESIC-P. LONCARA, POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS",ZAGREBACKA ZUPANIJA,ZAPRESIC,ULICA PAVLA LONCARA 1,10290,Dislocirana jed. poliklinike
"PODRUZNICA ZDRAVSTVENE USTANOVE POLIKLINIKA ZA OFTALMOLOGIJU ""OCULUS""",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,TRG BANA J.JELACICA 32,31000,Dislocirana jed. poliklinike
PODRUZNICA ZDRAVSTVENE USTANOVE ZA MEDICINU RADA RIJEKA,PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,VERDIEVA 8,51000,Dislocirana jedinica ustanove za medicinu rada
"POLIKL.ZA NEUROLOGIJU,PSIHIJATRIJU RADIOLOGIJU,NEUROKIRURGIJU, PATOLOGIJU,CITOGENETIKU I LABORATORIJ. DIJAGNOSTIKU ""NEURON""",GRAD ZAGREB,ZAGREB,SALATA 12,10000,Poliklinika
"POLIKLINICKA JEDINICA OPATIJA-TRG V.GORTANA, POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS",PRIMORSKO-GORANSKA ZUPANIJA,OPATIJA,TRG VLADIMIRA GORTANA 4 / 4,51410,Dislocirana jed. poliklinike
POLIKLINICKA JEDINICA POREC POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,ISTARSKA ZUPANIJA,POREC - PARENZO,ULICA BOZE MILANOVICA 6,52440,Dislocirana jed. poliklinike
POLIKLINICKA JEDINICA UMAG POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,ISTARSKA ZUPANIJA,UMAG,JADRANSKA ULICA - VIA DELL' ADRIATICO 22,52470,Dislocirana jed. poliklinike
POLIKLINICKA JEDINICA VARAZDIN POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,VARAZDINSKA ZUPANIJA,VARAZDIN,ULICA LJUDEVITA GAJA 15,42000,Dislocirana jed. poliklinike
POLIKLINICKA PODRUZNICA KARLOVAC-KUKULJEVICA POLIKLINIKA ZA OFTALMOLOGIJU I OTORINOLARINGOLOGIJU GHETALDUS,KARLOVACKA ZUPANIJA,KARLOVAC,IVANA KUKULJEVICA 1,47000,Dislocirana jed. poliklinike
"POLIKLINICKA PODRUZNICA POLIKLINIKA ZA MED.MIKROBIOLOGIJU SA PARAZITOLOGIJOM, GINEKOLOGIJU, INTERNU MEDICINU, UROLOGIJU I MEDICINU RADA ""DR.ZORA PROFOZIC""",GRAD ZAGREB,ZAGREB,,10000,Dislocirana jed. poliklinike
"POLIKLINICKA PODRUZNICA SAMOBOR POLIKLINIKA ""PYRIA-MEDICA""",ZAGREBACKA ZUPANIJA,SAMOBOR,ULICA MILANA LANGA 9,10430,Dislocirana jed. poliklinike
"POLIKLINIKA ADARTA ZA GINEKOLOGIJU I OPSTETRICIJU, DERMATOLOGIJU I VENEROLOGIJU, PEDIJATRIJU I KLINICKU RADIOLOGIJU - ULTRAZVUCNA DIJAGNOSTIKA",GRAD ZAGREB,ZAGREB,PETRINJSKA ULICA 26 A,10000,Poliklinika
POLIKLINIKA AKADEM,SPLITSKO-DALMATINSKA ZUPANIJA,SINJ,PUT FERATE 9,21230,Poliklinika
POLIKLINIKA LF MEDICAL,GRAD ZAGREB,ZAGREB,VRBIK 8 A,10000,Poliklinika
POLIKLINIKA LUMBALIS D.O.O.,MEDIMURSKA ZUPANIJA,TOPLICE SVETI MARTIN,IZVORSKA 1,40313,Poliklinika
"POLIKLINIKA "" I-MED"" ZA ORALNU KRURGIJU, PARODONTOLOGIJU, STOMATOLOSKU PROTETIKU, ORTODONCIJU...",GRAD ZAGREB,ZAGREB,SELSKA CESTA 90 A,10000,Poliklinika
"POLIKLINIKA ""ANALIZA""",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,SPINCICEVA 2 B,21204,Poliklinika
"POLIKLINIKA ""IVANIS"" ZDRAVSTVENA USTANOVA ZA INTERNU MEDICINU I ORALNU KIRURGIJU",PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,ZAMETSKA 100,51000,Poliklinika
"POLIKLINIKA ""KARDIOTON"" SPECIJALISTICKA KARDIOLOSKA-INTERNISTICKA ZDRAVSTVENA USTANOVA",GRAD ZAGREB,ZAGREB,KAPTOL 26,10000,Poliklinika
"POLIKLINIKA ""KVARANTAN"" ZA ANESTEZIOLOGIJU I INTERNU MEDICINU",GRAD ZAGREB,ZAGREB,ULICA PETRA PETROVICA NJEGOSA 4 A,10000,Poliklinika
"POLIKLINIKA ""MARIN MED"" ZA KIRURGIJU, ORTOPEDIJU, INTERNU MED.,GINEKOLOGIJU, UROLOGIJU, NEUROLOGIJU, ORL, RADIOLOGIJU, FIZIKALNU MED., I REHABILITACIJU, FIZAKLNU TERAPIJU, ANESTEZIOLOGIJU, REANIMACIJU I INTENZIVNO LIJECENJE",DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,DR. ANTE STARCEVICA 45,20000,Poliklinika
"POLIKLINIKA ""PABLO"" ZA DERMATOLOGIJU, GINEKOLOGIJU, OFTALMOLOGIJU I MEDICINU RADA",SPLITSKO-DALMATINSKA ZUPANIJA,SOLIN,MATOSEVA ULICA 10,21210,Poliklinika
"POLIKLINIKA ""SUSAC"" ZA DERMATOVENEROLOGIJU I OFTALMOLOGIJU",SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,PLINARSKA 2,21000,Poliklinika
"POLIKLINIKA ""SAGI"" - ZA MIKROBIOLOSKU DIJAGNOSTIKU, UROLOGIJU I DERMATOVENEROLOGIJU",GRAD ZAGREB,ZAGREB,KRAJISKA ULICA 27,10000,Poliklinika
"POLIKLINIKA ""SLAJ-ANIC"" ZA ORTODONCIJU,DENTALNU PATOLOGIJU, ENDODONCIJU,PARODONTOLOGIJU, ORALNU KIRURGIJU, DENTALNU PROTETIKU S DENTALNIM LABORATORIJEM, DERMATOLOGIJU I VENEROLOGIJU",GRAD ZAGREB,ZAGREB,ULICA PAVLA STOOSA 26,10000,Poliklinika
"POLIKLINIKA ""ZAJA"" ZA ORTODONCIJU",GRAD ZAGREB,ZAGREB,OSREDAK 18,10000,Poliklinika
"POLIKLINIKA 2 DENT ZA DJELATNOSTI ORTODONCIJE, ORALNE KIRURGIJE I RTG-ORTOPANA",BRODSKO-POSAVSKA ZUPANIJA,SLAVONSKI BROD,ULICA JOSIPA KOZARCA 4 / 1,35000,Poliklinika
POLIKLINIKA AESTHETE,GRAD ZAGREB,ZAGREB,TRG DRAGE IBLERA 7,10000,Poliklinika
POLIKLINIKA ALMADRA,ZAGREBACKA ZUPANIJA,IVANIC-GRAD,OMLADINSKA ULICA 23,10310,Poliklinika
"POLIKLINIKA ARISTA ZA PEDIJATRIJU, INTERNU MEDICINU, ANESTEZIOLOGIJU, REANIMATOLOGIJU I INTENZIVNU MEDIICNU D.O.O.",GRAD ZAGREB,ZAGREB,ULICA DRAGUTINA DOMJANICA 19,10000,Poliklinika
"POLIKLINIKA ARTEMEDA ZA GINEKOLOGIJU I OPSTETRICIJU, DERMATOLOGIJU I VENEROLOGIJU, PSIHIJATRIJU I KLINICKU RADIOLOGIJU-ULTRAZVUK DIJAGNOSTIKA",GRAD ZAGREB,ZAGREB,TRNJANSKA CESTA 95,10000,Poliklinika
POLIKLINIKA AVIVA,GRAD ZAGREB,ZAGREB,TRPINJSKA ULICA 7,10000,Poliklinika
"POLIKLINIKA BATES ZA INTERNU MEDICINU, FIZIKALNU MEDICINU I REHABILITACIJU TE RADIOLOGIJU",GRAD ZAGREB,ZAGREB,SVETICE 32,10000,Poliklinika
POLIKLINIKA BILIC VISION ZA OFTALMOLOGIJU I ORTOPEDIJU,GRAD ZAGREB,ZAGREB,KSAVERSKA CESTA 10,10000,Poliklinika
"POLIKLINIKA BREYER ZA MEDICINSKU BIOKEMIJU, INTERNU MEDICINU I MIKROBIOLOGIJU S PARAZITOLOGIJOM TE PATOLOGIJU I CITOLOGIJU",GRAD ZAGREB,ZAGREB,ILICA 191,10000,Poliklinika
POLIKLINIKA BUSDON GUNARIC 1885 ZA OPCU INTERNU MIEDINU I KLINICKU RADIOLOGIJU - ULTRAZVUCNA DIJAGNOSTIKA,PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,TICI 22 / 10,51000,Poliklinika
"POLIKLINIKA DENTALNE MEDICINE ""MARAS""",ISTARSKA ZUPANIJA,POREC - PARENZO,ARSENA VIVODE AUGUSTI. 5,52440,Poliklinika
POLIKLINIKA DENTALNE MEDICINE THE CLINIC,GRAD ZAGREB,ZAGREB,NOVA VES 17,10000,Poliklinika
"POLIKLINIKA DENTALNE PROTETIKE, ORTODONCIJE, ORALNE KIRURGIJE, RTG ORTOPANA I DJELATNOSTI DENTALNOG LABORATORIJA ADRIATIC DENT",ISTARSKA ZUPANIJA,ROVINJ,ISTARSKA ULICA - VIA DELL'ISTRIA 18,52210,Poliklinika
POLIKLINIKA DERMAPLUS ZA DERMATOLOGIJU I VENEROLOGIJU,GRAD ZAGREB,ZAGREB,KAPTOL 25,10000,Poliklinika
"POLIKLINIKA DERMATOLOGIJU I VENEROLOGIJU I OPCU KIRURGIJU ""DERMANGIO""",GRAD ZAGREB,ZAGREB,POD ZIDOM 10,10000,Poliklinika
POLIKLINIKA DR. MISIR,GRAD ZAGREB,ZAGREB,PETROVARADINSKA ULICA 7 A,10000,Poliklinika
POLIKLINIKA DR. VUCIC,GRAD ZAGREB,ZAGREB,TRG JOSIPA LANGA 2,10000,Poliklinika
"POLIKLINIKA FIZIODENT ZA ORTODONCIJU, ORALNU KIRURGIJU, DENTALNU PROTETIKU SA DENTALNIM LABORATORIJEM",GRAD ZAGREB,ZAGREB,TRG KRALJA PETRA KRESIMIRA IV. 17,10000,Poliklinika
"POLIKLINIKA GEMINI PLUS ZA GINEKOLOGIJU I OPSTETRICIJU, DERMATOLOGIJU I VENEROLOGIJU",GRAD ZAGREB,ZAGREB,ULICA IVANE BRLIC - MAZURANIC 33,10000,Poliklinika
POLIKLINIKA GLAVIC ZA NEUROLOGIJU I FIZIKALNU MEDICINU I REHABILITACIJU S FIZIKALNOM TERAPIJOM,GRAD ZAGREB,ZAGREB,ULICA MARIJANA DERENCINA 3,10000,Poliklinika
"POLIKLINIKA HELP BULJUBASIC ZA OPCU KIRURGIJU, ORTOPEDIJU I TRAUMATOLOGIJU, OPCU INTERNU MEDICINU, UROLOGIJU, FIZIKALNU MEDICINU I REHABILITACIJU S FIZIKALNOM TERAPIJOM, ANESTEZIOLOGIJU, REANIMATOLOGIJU I INTENZIVNU MEDICINU S LIJECENJEM BOLI, GINEKOLOGIJU I OPSTETRICIJU I PEDIJATRIJU",GRAD ZAGREB,ZAGREB,ALEJA LIPA 1 F,10000,Poliklinika
"POLIKLINIKA HYGEA ZA INTERNU MEDICINU, ENDOKRINOLOGIJU, DIJABETOLOGIJU I GINEKOLOGIJU I OPSTETRICIJU",DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,PERA CINGRIJE 2,20000,Poliklinika
POLIKLINIKA IDENT ZA OBAVLJANJE ZDRAVSTVENE DJELATNOSTI,GRAD ZAGREB,ZAGREB,RADNICKA CESTA 21,10000,Poliklinika
POLIKLINIKA INTERMEDICUS,POZESKO-SLAVONSKA ZUPANIJA,POZEGA,MATIJE GUPCA 21,34000,Poliklinika
POLIKLINIKA KNEZOVIC ZA OFTALMOLOGIJU,GRAD ZAGREB,ZAGREB,ULICA GRADA VUKOVARA 269 F / 8,10000,Poliklinika
"POLIKLINIKA LAB PLUS 2 ZA DJELATNOST MEDICINSKE BIOKEMIJE, MEDIICNE RADA I SPORTA, opce INTERNE MEDICINE I KLINICKE MIKROBIOLOGIJE",GRAD ZAGREB,ZAGREB,MAKSIMIRSKA CESTA 282,10000,Poliklinika
POLIKLINIKA LAB PLUS ZA MEDICINSKO-BIOKEMIJSKU DJELATNOST I INTERNU MEDICINU,SPLITSKO-DALMATINSKA ZUPANIJA,SPLIT,DUBROVACKA 1,21000,Poliklinika
"POLIKLINIKA LEPTIR ZA OTORINOLARINGOLOGIJU, OPCU KIRURGIJU, ANESTEZIOLOGIJU, REANIMATOLOGIJU I INTENZIVNO LIJECENJE I INTERNU MEDICINU",GRAD ZAGREB,ZAGREB,ILICA 253,10000,Poliklinika
POLIKLINIKA LESIC ZA DERMATOVENEROLOGIJU,GRAD ZAGREB,ZAGREB,JURISICEVA ULICA 3,10000,Poliklinika
POLIKLINIKA LIDERDENT,GRAD ZAGREB,ZAGREB,KAPTOL 12,10000,Poliklinika
POLIKLINIKA LIFE GORICA,ZAGREBACKA ZUPANIJA,VELIKA GORICA,ULICA MATIJE SLATINSKOG 2,10410,Poliklinika
POLIKLINIKA LIFE ZA ZDRAVSTVENU DJELATNOST,GRAD ZAGREB,ZAGREB,TRPINJSKA ULICA 5 A,10000,Poliklinika
POLIKLINIKA LUKSIC,SPLITSKO-DALMATINSKA ZUPANIJA,KASTEL LUKSIC,OBALA KRALJA TOMISLAVA 17,21215,Poliklinika
"POLIKLINIKA M.D. ZA PEDIJATRIJU, OPCU INTERNU MEDICINU, ORTOPEDIJU I TRAUMATOLOGIJUi I PSIHIJATRIJU",GRAD ZAGREB,ZAGREB,ULICA FRANE BULICA 9,10000,Poliklinika
POLIKLINIKA MAJA I KRESIMIR CAVKA ZA RADIOLOGIJU I INTERNU MEDICINU,GRAD ZAGREB,ZAGREB,JORDANOVAC 99,10000,Poliklinika
POLIKLINIKA MANOLA ZA ZDRAVSTVENE DJELATNOSTI DERMATOVENEROLOGIJE I INTERNE MEDICINE,GRAD ZAGREB,ZAGREB,ULICA KNEZA BRANIMIRA 41 / 1,10000,Poliklinika
"POLIKLINIKA MARIJA ZA DERMATOVENEROLOGIJU, BAROMEDICINU I KIRURGIJU",GRAD ZAGREB,ZAGREB,ULICA GRADA VUKOVARA 284,10000,Poliklinika
POLIKLINIKA MEDICINSKI CENTAR GORICA za zdravstvenu djelatnost,ZAGREBACKA ZUPANIJA,VELIKA GORICA,ULICA MATIJE SLATINSKOG 2,10410,Poliklinika
POLIKLINIKA MESTER,ZADARSKA ZUPANIJA,ZADAR,ULICA NIKOLE TESLE 12 B,23000,Poliklinika
POLIKLINIKA NADO FIZIO MEDICO CENTAR,GRAD ZAGREB,ZAGREB,ULICA SILVIJA STRAHIMIRA KRANJCEVICA 36 / 1,10000,Poliklinika
POLIKLINIKA OPTICAL EXPRESS ZA OBAVLJANJE ZDRAVSTVENE DJELATNOSTI IZ PODRUCJA OFTALMOLOGIJE I OPTOMETRIJE,GRAD ZAGREB,ZAGREB,STROJARSKA CESTA 18,10000,Poliklinika
POLIKLINIKA OTOS-VITA ZA OBAVLJANJE DJELATNOSTI FIZIKALNE MEDICINE I REHABILITACIJE,OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,VUKOVARSKA CESTA 1,31000,Poliklinika
POLIKLINIKA PAVICIC KRMPOTIC ZA ORTODONCIJU I ORALNU KIRURGIJU,GRAD ZAGREB,ZAGREB,ULICA LAVOSLAVA RUZICKE 38,10000,Poliklinika
POLIKLINIKA PERIFERNA VASKULARNA REHABILITACIJA,GRAD ZAGREB,ZAGREB,KALINOVICA 3,10000,Poliklinika
"POLIKLINIKA PYRIA-MEDICA ZA INTERNU MED., GINEKOLOGIJU I OPSTETRICIJU, ORTOPEDIJU, FIZIKALNU MED. I REHABILITACIJU I FIZIKALNU TERAPIJU",SPLITSKO-DALMATINSKA ZUPANIJA,BOL,DAVID-CESTA 11 A,21420,Poliklinika
POLIKLINIKA REDIAL ZDRAVSTVENA USTANOVA ZA HEMODIJALIZU I INTERNU MEDICINU,PRIMORSKO-GORANSKA ZUPANIJA,OMISALJ,POJE 1,51513,Poliklinika
"POLIKLINIKA RIBNJAK MILOSEVIC ZA ORTOPEDIJU I TRAUMATOLOGIJU, PLASTICNU REKONSTRUKTIVNU I ESTETSKU KIRURGIJU, TE MEDICINU RADA I SPORTA SA DNEVNOM BOLNICOM",GRAD ZAGREB,ZAGREB,ULICA GRADA MAINZA 17,10000,Poliklinika
POLIKLINIKA RITZ NOVA,GRAD ZAGREB,ZAGREB,ULICA SILVIJA STRAHIMIRA KRANJCEVICA 50,10000,Poliklinika
POLIKLINIKA ROTIM,GRAD ZAGREB,ZAGREB,MIRAMARSKA CESTA 24,10000,Poliklinika
"POLIKLINIKA SLAVONIJA OSIJEK ZA OPCU KIRURGIJU, RADIOLOGIJU, BAROMEDICINU, GINEKOLOGIJU I PORODILJSTVO I INTERNU MEDICINU",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,JOSIPA JURJA STROSSMAYERA 163,31400,Poliklinika
POLIKLINIKA THALAMUS ZA FIZIKALNU TERAPIJU I REHABILITACIJU SA FIZIKALNOM TERAPIJOM,GRAD ZAGREB,ZAGREB,KOSA 1 B,10000,Poliklinika
POLIKLINIKA VURA ZA OBAVLJANJE DJELATNOSTI RADIOLOGIJE,KARLOVACKA ZUPANIJA,KARLOVAC,PETRA PRERADOVICA 5,47000,Poliklinika
POLIKLINIKA WELLIFE,GRAD ZAGREB,ZAGREB,ULICA LJUDEVITA POSAVSKOG 31,10000,Poliklinika
POLIKLINIKA ZA FIZIKALNU MEDICINU I REHABILITACIJU LIGAMENT,GRAD ZAGREB,ZAGREB,TRG KRESIMIRA COSICA 11,10000,Poliklinika
"POLIKLINIKA ZA ANESTEZIOLOGIJU, REANIMATOLOGIJU I INTENZIVNO LIJECENJE I ORTOPEDIJU ""BEZ BOLI""",GRAD ZAGREB,ZAGREB,TRG EUGENA KVATERNIKA 2,10000,Poliklinika
"POLIKLINIKA ZA BAROMEDICINU I MEDICINU RADA ""OXY""",ISTARSKA ZUPANIJA,PULA,SANTORIOVA ULICA - VIA SANTORIO SANTORIO 24 A,52100,Poliklinika
POLIKLINIKA ZA BOLESTI DISNOG SUSTAVA,GRAD ZAGREB,ZAGREB,AVENIJA VECESLAVA HOLJEVCA 22,10000,Poliklinika
"POLIKLINIKA ZA DENTALNU PATOLOGIJU I ENDODONCIJU S PARODONTOLOGIJOM, ORTODONCIJU I ORALNU KIRURGIJU ""DR BLASKOVIC """,PRIMORSKO-GORANSKA ZUPANIJA,RIJEKA,LINICEVA 16,51000,Poliklinika
"POLIKLINIKA ZA DENTALNU PATOLOGIJU I ENDODONCIJU, ORALNU PATOLOGIJU SA PARODONTOLOGIJOM ""SIKORA""",OSJECKO-BARANJSKA ZUPANIJA,OSIJEK,JOSIPA JURJA STROSSMAYERA 253 A,31000,Poliklinika
"POLIKLINIKA ZA DENTALNU PROTETIKU, PARADONTOLOGIJU I ORTODONCIJU ""K 2""",GRAD ZAGREB,ZAGREB,PETROVA ULICA 84,10000,Poliklinika
"POLIKLINIKA ZA DERMATOLOGIJU I VENEROLOGIJU TE FIZIKALNU MEDICINU I REHABILITACIJU ""VENERA""",ZADARSKA ZUPANIJA,ZADAR,JAKOVA GOTOVCA 5,23000,Poliklinika
"POLIKLINIKA ZA DERMATOLOGIJU I VENEROLOGIJU TE INTERNE MEDICINE ""SEBETIC""",GRAD ZAGREB,ZAGREB,TRG KRALJA PETRA KRESIMIRA IV. 14,10000,Poliklinika
"POLIKLINIKA ZA DERMATOLOGIJU I VENEROLOGIJU, GINEKOLOGIJU I OPSTETRICIJU, UROLOGIJU I NEUROLOGIJU ""DR. BABIC""",SPLITSKO-DALMATINSKA ZUPANIJA,SINJ,SPLITSKA ULICA 49,21230,Poliklinika
"POLIKLINIKA ZA DERMATOLOGIJU I VENEROLOGIJU, INTERNU MEDICINU, GNIKEKOLOGIJU I OPSTETRICIJU, OPCU KIRURGIJU TE NEUROLOGIJU VIVA-DERM",VARAZDINSKA ZUPANIJA,VARAZDIN,ULICA VINKA MEDERALA 4 A,42000,Poliklinika
POLIKLINIKA ZA DERMATOLVENEROLOGIJU I OFTALMOLOGIJU MARKUSIC,PRIMORSKO-GORANSKA ZUPANIJA,OPATIJA,NIKOLE TESLE 1,51410,Poliklinika
POLIKLINIKA ZA DERMATOVENEROLOGIJU CUTIS,DUBROVACKO-NERETVANSKA ZUPANIJA,DUBROVNIK,VUKOVARSKA 22,20000,Poliklinika
